year,tax_code,agency_num,agency_name,agency_major_type,agency_minor_type,agency_total_eav,agency_total_ext
2006,71001,010010000,COUNTY OF COOK,COOK COUNTY,COOK,144344783200,721723916
2006,71001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,COOK COUNTY,COOK,144344783200,82276526.42
2006,71001,030210000,CITY OF CHICAGO,MUNICIPALITY/TOWNSHIP,MUNI,69511192285,703453265.92
2006,71001,030210001,CITY OF CHICAGO LIBRARY FUND,MUNICIPALITY/TOWNSHIP,LIBRARY,69511192285,34755596.14
2006,71001,043030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,SCHOOL,COMM COLL,69473229020,142420119.49
2006,71001,044060000,BOARD OF EDUCATION,SCHOOL,UNIFIED,69511192285,1874716855.93
2006,71001,044060001,CHGO SCHOOL FINANCE AUTHORITY,SCHOOL,MISC,69511192285,82023206.9
2006,71001,050200000,CHICAGO PARK DISTRICT,MISCELLANEOUS,PARK,69511192285,250240292.23
2006,71001,050200001,CHICAGO PARK DISTRICT AQUARIUM & MUSEUM BONDS,MISCELLANEOUS,BOND,69511192285,13207126.53
2006,71001,080180000,METRO WATER RECLAMATION DISTRICT OF GREATER CHICAGO,MISCELLANEOUS,WATER,141468642565,401770944.88
2007,71001,010010000,COUNTY OF COOK,COOK COUNTY,COOK,159266913649,710330434.87
2007,71001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,COOK COUNTY,COOK,159266913649,84411464.23
2007,71001,030210000,CITY OF CHICAGO,MUNICIPALITY/TOWNSHIP,MUNI,73645316037,739398973.01
2007,71001,030210001,CITY OF CHICAGO LIBRARY FUND,MUNICIPALITY/TOWNSHIP,LIBRARY,73645316037,29458126.41
2007,71001,043030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,SCHOOL,COMM COLL,73605314512,117032450.07
2007,71001,044060000,BOARD OF EDUCATION,SCHOOL,UNIFIED,73645316037,1902258513.24
2007,71001,044060001,CHGO SCHOOL FINANCE AUTHORITY,SCHOOL,MISC,73645316037,67017237.59
2007,71001,050200000,CHICAGO PARK DISTRICT,MISCELLANEOUS,PARK,73645316037,248184715.04
2007,71001,050200001,CHICAGO PARK DISTRICT AQUARIUM & MUSEUM BONDS,MISCELLANEOUS,BOND,73645316037,13256156.89
2007,71001,080180000,METRO WATER RECLAMATION DISTRICT OF GREATER CHICAGO,MISCELLANEOUS,WATER,155972794427,410208449.34
2008,71001,010010000,COUNTY OF COOK,COOK COUNTY,COOK,173641947994,720614084.18
2008,71001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,COOK COUNTY,COOK,173641947994,88557393.48
2008,71001,030210000,CITY OF CHICAGO,MUNICIPALITY/TOWNSHIP,MUNI,80977543020,751471599.23
