year,pin,class,tax_code,av,eav,agency_num,agency_name,agency_major_type,agency_minor_type,agency_tax_rate,final_tax
2006,13132310180000,211,71001,51628,139788,010010000,COUNTY OF COOK,COOK COUNTY,COOK,0.005,498.94
2006,13132310180000,211,71001,51628,139788,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,COOK COUNTY,COOK,5.699999999722886e-4,56.88
2006,13132310180000,211,71001,51628,139788,030210000,CITY OF CHICAGO,MUNICIPALITY/TOWNSHIP,MUNI,0.010119999999939577,1009.85
2006,13132310180000,211,71001,51628,139788,030210001,CITY OF CHICAGO LIBRARY FUND,MUNICIPALITY/TOWNSHIP,LIBRARY,4.999999999640345e-4,49.89
2006,13132310180000,211,71001,51628,139788,043030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,SCHOOL,COMM COLL,0.0020499999999856063,204.57
2006,13132310180000,211,71001,51628,139788,044060000,BOARD OF EDUCATION,SCHOOL,UNIFIED,0.02697000000005107,2691.28
2006,13132310180000,211,71001,51628,139788,044060001,CHGO SCHOOL FINANCE AUTHORITY,SCHOOL,MISC,0.001180000000053229,117.75
2006,13132310180000,211,71001,51628,139788,050200000,CHICAGO PARK DISTRICT,MISCELLANEOUS,PARK,0.0036000000000575446,359.24
2006,13132310180000,211,71001,51628,139788,050200001,CHICAGO PARK DISTRICT AQUARIUM & MUSEUM BONDS,MISCELLANEOUS,BOND,1.899999999402974e-4,18.96
2006,13132310180000,211,71001,51628,139788,080180000,METRO WATER RECLAMATION DISTRICT OF GREATER CHICAGO,MISCELLANEOUS,WATER,0.002839999999967484,283.4
2007,13132310180000,211,71001,51628,146825,010010000,COUNTY OF COOK,COOK COUNTY,COOK,0.004459999999971495,538.88
2007,13132310180000,211,71001,51628,146825,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,COOK COUNTY,COOK,5.299999999750733e-4,64.04
2007,13132310180000,211,71001,51628,146825,030210000,CITY OF CHICAGO,MUNICIPALITY/TOWNSHIP,MUNI,0.010039999999979904,1213.08
2007,13132310180000,211,71001,51628,146825,030210001,CITY OF CHICAGO LIBRARY FUND,MUNICIPALITY/TOWNSHIP,LIBRARY,3.999999999348227e-4,48.33
2007,13132310180000,211,71001,51628,146825,043030000,CHICAGO COMMUNITY COLLEGE DISTRICT 508,SCHOOL,COMM COLL,0.0015899999999445691,192.11
2007,13132310180000,211,71001,51628,146825,044060000,BOARD OF EDUCATION,SCHOOL,UNIFIED,0.02583000000005825,3120.91
2007,13132310180000,211,71001,51628,146825,044060001,CHGO SCHOOL FINANCE AUTHORITY,SCHOOL,MISC,9.099999999501666e-4,109.95
2007,13132310180000,211,71001,51628,146825,050200000,CHICAGO PARK DISTRICT,MISCELLANEOUS,PARK,0.0033699999999363163,407.18
